,Date,Time,Location,Operator,Type,Flight,Aboard,Fatalities,Ground,Summary
0,01 01 1970,00:30:00,"Nulato, Alaska",Galena Air Service - Air Taxi,Cessna 180,,4,2,0,Emergency flight to airlift sick patient. Collided with trees while en route. Pilot stayed low to maintain ground contact at night. Continued VFR flight into adverse weather conditions.
1,01 05 1970,22:25:00,"Stockholm, Sweden",Spantax,Convair CV-990-30A-5,,10,5,0,"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.  It was decided to continue the ferry flight to Zurich on three engines.  As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear."
2,01 12 1970,12:00:00,Near Villia Greece,Military - Royal HelleniAir Force,Douglas C-47,,27,23,0,"The aircraft, carrying paratroopers, crashed into a mountain in fog."
3,13 01 1970,06:00:00,"Faleolo, Western Samoa",Polynesian Airlines,Douglas DC-3,208B,32,32,0,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence."
4,14 01 1970,,"Mt. Pumacona, Peru",Faucett,Douglas DC-4,,28,28,0,"Flew into a 10,500 ft. mountain. The mental state of the pilot-in-command adversely affected his judgement and efficiency. Contributing factors  ATC error, navigational aids not functional."
5,24 01 1970,03:53:00,"Portage, Michigan",Buckeye Air Service - Air Taxi,Beechcraft TC-45J,,2,2,0,Left engine feathered. Improper emergency procedure. Failed to use flaps. Pilot made go-around due to not extending flaps full.
6,25 01 1970,,"Near Poza Rica, Mexico",Charter -Federal Electricity Commission,Convair CV-240-2,-,19,19,0,Crashed into a hill on approach. The plane was carrying Mexican journalists covering the presidential campaign.
7,25 01 1970,,"Near Delhi, India",Royal Nepal Airlines,Fokker F-27 Friendship 200,,23,1,0,The aircraft crashed short of the runway after entering a thunderstorm and encountering windshear.
8,28 01 1970,,"Near Batagai, Russia",Aeroflot,Antonov AN-24,,34,34,0,Crashed into high ground on approach after executing a premature descent.
9,28 01 1970,07:49:00,"Cleveland, Ohio",TAG Airlines,De Havilland Dove,,9,9,0,The aircraft suffered an airframe failure while en route. Fatigue fracture of wing attachment fitting bolts. FAA replacement time exceeded.
10,29 01 1970,,"Near Murmansk, Russia",Aeroflot,Tupolev TU-124,,11,11,0,Crashed on approach.
11,02 04 1970,,"Near Corrientes, Argentina",Aerolineas Argentinas,Hawker Siddeley HS-748 1,,37,37,0,Crashed in a storm 8 minutes after taking off. Went into a dive and crashed at a high rate of speed into the ground. Severe turbulence and adverse weather conditions.
12,02 04 1970,,"Apuseni mountains, Romania",Tarom,Antonov AN-24V,,22,21,0,Crashed into mountains while on approach.
13,02 06 1970,,"Near Samarkand, USSR",Aeroflot,Ilyushin IL-18V,,92,92,0,"Crashed into a mountain at an elevation of 5,000 ft. Misidentification of the aircraft by the air trafficontroller."
14,02 10 1970,18:37:00,"Long Island Sound, Connecticut",Pilgrim Airlines,de Havilland Canada DHC-6 Twin Otter 100,203,5,5,0,Crashed into Long Island Sound while on a flight from Groton to New York.  Fuel exhaustion resulting from inadequate flight preparation and erroneous in-flight decisions by the pilot-in-command.
15,02 12 1970,,"Puerta Infrida, Colombia",Lineas Aรฉreas La Urraca,Douglas DC-3 (C-47-DL),,12,12,2,Crashed while attempting to return to the airport after reporting an overspeeding propeller.
16,15 02 1970,18:30:00,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,McDonnell Douglas DC-9-32,,102,102,0,"Two minutes after taking off , the crew reported losing an engine and turned back towards the airport. The plane then descended rapidly and crashed into the sea. Featherweight boxer Carlos Cruz and members of  the Puerto Rican women's national volleyball team killed."
17,18 02 1970,19:34:00,"Elizabeth, New Jersey",Suburban Airlines - Air Taxi,Cessna 402,,4,4,0,"No second in command pilot. ILS approach, descended below glide slope and hit natural gas storage tank holder at 190 ft. AGL."
18,19 02 1970,,Congo,Air Congo,Douglas DC-3,,17,17,0,
19,21 02 1970,13:34:00,"Zurich, Switzerland",Swissair,Convair CV-990-30A-6,330,47,47,0,"About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists."
20,03 06 1970,,"St. Moritz, Switzerland",Bavaria Flug,Handley Page Jetstream 1,,11,11,0,Crashed 3 km short of the runway into a snow bank. Disintegration of the No. 1 engine turbine wheel.
21,14 03 1970,,"Belem Bay, Brazil",Paraense Transportes Aereos,Fairchild-Hiller FH-227B,,40,38,0,"Crashed into Guajara Bay, short of the runway while on approach during a storm."
22,16 03 1970,11:30:00,"Near Da Nang, South Vietnam",Military - U.S. Navy,Lockheed EC-121P,,31,23,0,"The pilot tried to stretch the approach to avoid workers on the runway, ran out of runway, attempted a go-around, was unable to gain altitude and crashed into several structures, trucks and a U.S. Navy Jet."
23,22 03 1970,16:11:00,"Binghamton, New York",Commuter Airline - Air Taxi,Beechcraft C-45H,,11,3,0,"Ran off end of runway, crashed and burned while attempting to take off. Attempted take off with snow on wings. Take off aborted too late to remain on runway."
24,26 03 1970,19:53:00,"Colorado City, Arizona",Grand Canyon Airlines,Piper PA-32,,6,6,0,"Flew into thunderstorms and turbulence, crashed while en route. Continued VFR flight into adverse weather conditions. Spatial disorientation."
25,04 01 1970,08:16:00,"Casablanca, Morocco",Royal Air Maroc,Aerospatiale Caravelle 3,,82,61,0,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.
26,04 01 1970,,"Novosibirsk, Russia",Aeroflot,Antonov AN-24V,,45,45,0,The aircraft crashed after colliding with a balloon.
27,04 02 1970,00:55:00,"Cambridge, Maryland",East Coast Air - Air Taxi,Piper PA-32,,3,3,0,Collided with trees while attempting to land in fog.  Either misread or failed to read instruments correctly.
28,21 04 1970,,"Dak Seang, Laos",Military - U.S. Air Force,Lockheed AC-130A Hercules,,10,10,0,Shot down by enemy fire.
