ลำดับ,accident,injured,death,ปี
1,อัคคีภัย,0,0,2544
2,ท่อออกซิเจนระเบิด,2,2,2544
3,หม้อไอน้ำระเบิด,1,1,2544
4,อัคคีภัย,0,0,2544
5,อัคคีภัย,0,0,2544
6,อัคคีภัย,0,0,2544
7,อัคคีภัย,1,0,2544
8,อัคคีภัย,0,0,2544
9,อัคคีภัย,0,0,2544
10,วาล์วจ่ายไอน้ำระเบิด,0,1,2544
11,อัคคีภัย,0,0,2544
12,คานเหล็กหล่นทับคนงาน,0,0,2544
13,ระเบิด,20,13,2544
14,อัคคีภัย,0,0,2544
15,ระเบิด,2,2,2544
16,หม้อไอน้ำระเบิด,3,0,2544
17,อัคคีภัย,0,0,2544
18,อัคคีภัย,0,0,2544
19,อัคคีภัย,0,0,2544
20,อัคคีภัย,0,0,2545
21,ระเบิด,15,1,2545
22,อัคคีภัย,0,0,2545
23,อัคคีภัย,0,0,2545
24,อัคคีภัย,0,0,2545
25,ระเบิด,4,2,2545
26,อาคารถล่ม,54,8,2545
27,อัคคีภัย,0,0,2545
28,อัคคีภัย,0,0,2545
29,อัคคีภัย,0,0,2545
30,อัคคีภัย,0,0,2545
31,อัคคีภัย,0,0,2545
32,อัคคีภัย,0,0,2545
33,อัคคีภัย,9,0,2545
34,เครื่องจักรกระแทก,2,0,2545
35,เครื่องจักรหนีบ,1,0,2545
36,อาคารถล่ม,0,0,2545
37,อัคคีภัย,0,0,2545
38,อัคคีภัย,0,0,2545
39,อัคคีภัย,0,0,2545
40,อัคคีภัย,0,0,2545
41,อัคคีภัย,0,0,2545
42,อัคคีภัย,0,0,2545
43,อัคคีภัย,0,0,2545
44,อัคคีภัย,0,0,2545
45,ระเบิด,2,2,2545
46,อัคคีภัย,0,0,2545
47,อัคคีภัย,0,0,2545
48,อัคคีภัย,0,0,2545
49,อัคคีภัย,0,0,2545
50,อัคคีภัย,0,0,2545
51,อัคคีภัย,0,0,2545
52,อัคคีภัย,0,0,2545
53,อัคคีภัย,0,0,2545
54,ก๊าซแอมโมเนียรั่ว,10,1,2545
55,อัคคีภัย,0,0,2545
56,ระเบิด,2,0,2545
