Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
Aruba	ABW	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35.679	34.529	33.32	32.05	30.737	29.413
Afghanistan	AFG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.293	51.395	51.488	51.572	51.644	51.7
Angola	AGO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	55.035	54.773	54.509	54.235	53.956	53.691
Albania	ALB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.925	40.369	39.628	38.724	37.696	36.599
Andorra	AND	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Arab World	ARB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.68995549	47.46802486	47.24549612	47.01478571	46.77021394	46.50222879
United Arab Emirates	ARE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.163	46.588	45.963	45.285	44.546	43.703
Argentina	ARG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.682	23.459	23.242	23.038	22.857	22.709
Armenia	ARM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	38.509	37.217	35.561	33.629	31.54	29.447
American Samoa	ASM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Antigua and Barbuda	ATG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	34.157	33.882	33.658	33.48	33.328	33.165
Australia	AUS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	22.4	22.9	22.1	21.5	20.5	19.6
Austria	AUT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.9	18.6	18.7	18.8	18.5	17.9
Azerbaijan	AZE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.931	45.741	45.15	44.147	42.774	41.099
Burundi	BDI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.184	48.159	48.136	48.105	48.059	47.983
Belgium	BEL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16.8	17.3	16.8	17.1	17.2	16.4
Benin	BEN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.304	44.733	45.13	45.489	45.805	46.075
Burkina Faso	BFA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.24	47.215	47.21	47.229	47.273	47.332
Bangladesh	BGD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.023	49.112	49.15	49.142	49.091	48.997
Bulgaria	BGR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.8	17.4	16.7	16.4	16.1	15.3
Bahrain	BHR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.934	45.855	45.645	45.28	44.749	44.032
"Bahamas, The"	BHS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	34.388	34.036	33.381	32.417	31.2	29.865
Bosnia and Herzegovina	BIH	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	31.504	30.907	30.233	29.458	28.584	27.642
Belarus	BLR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.454	22.787	21.975	21.053	20.068	19.089
Belize	BLZ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.967	44.382	43.862	43.407	43.018	42.693
Bermuda	BMU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	28.3		26			
Bolivia	BOL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.539	44.279	44.025	43.778	43.539	43.307
Brazil	BRA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.336	42.029	41.611	41.064	40.392	39.61
